time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-24T09:55:18.633Z,24.0123,122.4498,26.25,4.9,mwr,,73,0.684,0.76,us,us7000fwp2,2022-01-29T22:55:40.040Z,"75 km SW of Yonakuni, Japan",earthquake,4.4,4.6,0.065,23,reviewed,us,us
2021-11-24T09:47:58.042Z,29.7906,-113.8533,10,4.6,mwr,,175,1.512,0.79,us,us7000fwny,2022-01-29T22:55:40.040Z,"113 km W of La Libertad, Mexico",earthquake,6.1,2,0.042,55,reviewed,us,us
2021-11-24T09:16:39.961Z,26.8946,106.6865,10,4.9,mb,,83,4.176,0.56,us,us7000fwns,2022-01-29T22:55:39.040Z,"34 km N of Guiyang, China",earthquake,8.1,1.9,0.081,48,reviewed,us,us
2021-11-24T08:06:36.210Z,39.4207,141.9048,60.17,4.8,mb,,123,1.511,0.72,us,us7000fwne,2022-01-29T22:55:38.040Z,"6 km N of ?tsuchi, Japan",earthquake,7.5,5.8,0.052,117,reviewed,us,us
2021-11-24T05:53:48.053Z,-16.9602,175.2221,10,5.6,mwb,,67,2.813,0.74,us,us7000fwms,2022-01-29T22:55:37.040Z,"247 km WNW of Lautoka, Fiji",earthquake,2.9,1.8,0.051,37,reviewed,us,us
2021-11-24T05:44:44.466Z,36.3957,141.685,35,4.6,mb,,78,2.805,1.25,us,us7000fwmq,2022-01-29T22:55:37.040Z,"93 km ESE of Takahagi, Japan",earthquake,8.3,1.9,0.129,18,reviewed,us,us
2021-11-24T04:37:20.911Z,29.8294,-113.8625,10,4.7,mwr,,130,0.92,0.75,us,us7000fwmd,2022-01-29T22:55:37.040Z,"113 km W of La Libertad, Mexico",earthquake,4.1,1.9,0.04,60,reviewed,us,us
2021-11-24T04:29:01.902Z,-16.6913,175.1765,10,5.4,mww,,43,2.941,0.59,us,us7000fwm8,2022-01-29T22:55:37.040Z,"262 km WNW of Lautoka, Fiji",earthquake,8.4,1.8,0.098,10,reviewed,us,us
2021-11-24T04:17:52.717Z,-16.8108,175.2846,10,5.3,mww,,66,2.803,0.77,us,us7000fwm4,2022-01-29T22:55:36.040Z,"247 km WNW of Lautoka, Fiji",earthquake,8.2,1.8,0.093,11,reviewed,us,us
2021-11-24T03:15:10.719Z,7.2224,94.0102,52.55,4.7,mb,,66,3.528,0.8,us,us7000fwlq,2022-01-29T22:55:36.040Z,"206 km NW of Sabang, Indonesia",earthquake,10.6,6.1,0.117,24,reviewed,us,us
2021-11-23T23:48:24.722Z,-6.2165,154.0505,10,4.6,mb,,70,2.753,0.74,us,us7000fwkr,2022-01-29T22:55:35.040Z,"159 km W of Panguna, Papua New Guinea",earthquake,10.1,1.8,0.109,25,reviewed,us,us
2021-11-23T22:43:40.782Z,-59.4595,-25.7068,35,4.6,mb,,93,15.318,0.95,us,us7000fxal,2022-01-29T22:56:07.040Z,"South Sandwich Islands region",earthquake,14,2,0.192,8,reviewed,us,us
2021-11-23T22:27:42.785Z,10.5704,148.3093,10,4.5,mb,,108,4.508,0.4,us,us7000fxag,2022-01-29T22:56:07.040Z,"Federated States of Micronesia region",earthquake,7.2,1.9,0.15,13,reviewed,us,us
2021-11-23T21:46:26.749Z,28.2034,59.3097,10,5,mb,,56,4.273,0.75,us,us7000fwjt,2022-01-29T22:55:35.040Z,"136 km SE of Bam, Iran",earthquake,7.8,1.8,0.062,82,reviewed,us,us
2021-11-23T20:48:28.400Z,-34.0022,55.7965,10,5.3,mww,,37,12.77,0.74,us,us7000fwja,2022-01-29T22:55:34.040Z,"Southwest Indian Ridge",earthquake,8.9,1.7,0.089,12,reviewed,us,us
2021-11-23T19:59:41.935Z,-0.0837,123.9148,101.07,4.6,mb,,36,1.487,1,us,us7000fwj0,2022-01-29T22:55:34.040Z,"117 km SE of Gorontalo, Indonesia",earthquake,5.8,5.5,0.069,71,reviewed,us,us
2021-11-23T19:35:23.676Z,49.1438,153.9604,153.36,4.6,mb,,107,4.614,0.56,us,us7000fwiv,2022-01-29T22:55:34.040Z,"230 km SW of Severo-Kuril’sk, Russia",earthquake,8.8,6,0.041,180,reviewed,us,us
2021-11-23T18:42:13.562Z,-49.1668,126.1845,10,4.5,mb,,101,15.459,0.49,us,us7000fwid,2022-01-29T22:55:34.040Z,"western Indian-Antarctic Ridge",earthquake,12.5,1.9,0.108,28,reviewed,us,us
2021-11-23T17:21:38.326Z,-15.435,-173.7143,10,4.8,mb,,70,2.407,0.66,us,us7000fxah,2022-01-29T22:56:07.040Z,"58 km N of Hihifo, Tonga",earthquake,8.3,1.8,0.196,9,reviewed,us,us
2021-11-23T16:49:17.603Z,27.73,56.0517,10,4.5,mb,,75,2.776,0.35,us,us7000fxaf,2022-01-29T22:56:07.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,5,1.9,0.157,14,reviewed,us,us
2021-11-23T16:12:37.273Z,52.3871,157.2359,146.76,4.8,mb,,79,0.775,0.5,us,us7000fwgw,2022-01-29T22:55:33.040Z,"94 km SW of Paratunka, Russia",earthquake,9.3,5.1,0.03,339,reviewed,us,us
2021-11-23T16:03:23.669Z,-0.1754,-78.356,4.52,4.9,mb,,88,0.421,0.83,us,us7000fwgk,2022-01-29T22:55:32.040Z,"3 km NW of Oyambarillo, Ecuador",earthquake,5.9,3.3,0.05,131,reviewed,us,us
